Function,Mordified_DE,Original_DE,Original_DE_2,Original_DE_3
0,"[-0.6663590897247694, -0.6753655952415457, -0.6659148544929087, -0.6637418146025276, -0.6466064639618564, -0.6533468749415863, -0.6453575627993255, -0.6416265844840421, -0.6355527021230074, -0.6327207570013985, -0.6209769892438414, -0.651238272272396, -0.6482642414212063, -0.6524970671651462, -0.6550682899021529, -0.6593608781786232, -0.6524841759943051, -0.650815477548183, -0.653347078485379, -0.653332525423837, -0.6503819360128864, -0.6633013757208175, -0.680838796233095, -0.6803912761148548, -0.6794712496278082, -0.6827198930385361, -0.6803751622343562, -0.6813184456929143, -0.6817777146367261, -0.679928251208309, -0.6813173389680074, -0.6785634781348202, -0.6672473238465086, -0.6396060044189699, -0.6387787995027207, -0.5800253953608523, -0.5902699212566068, -0.5773533392734658, -0.624056265143687, -0.6525106694252457, -0.6355398939813249, -0.6339200321138688, -0.6474531803639244, -0.6495372034417092, -0.6520603707551132, -0.6529345521806963, -0.6482779683692956, -0.6529217453571817, -0.6559113755000298, -0.6507898284298513]","[-0.6869168528910569, -0.6753497185280698, -0.6753648340122185, -0.6998472094322021, -0.7057733934975284, -0.712291694404517, -0.6984159229953177, -0.6845568859978767, -0.6785495364308908, -0.6897510974946944, -0.7042879868999168, -0.7127974405051012, -0.7127965925558092, -0.7117876318128701, -0.7112822315617178, -0.7047969940251191, -0.7092697063846388, -0.7112636563661877, -0.7122814126196454, -0.7143322575980863, -0.7117870278494915, -0.7097871435964207, -0.7112646212875195, -0.7133210101349208, -0.7112813872136002, -0.7132894699473336, -0.711281145971649, -0.7122906057308915, -0.712799257546092, -0.7133053610009088, -0.7127982884564107, -0.7133217380183304, -0.7138132769857684, -0.7112640182113803, -0.7138302847693886, -0.7137961485371218, -0.7133053610009088, -0.694544117162458, -0.6762614449437481, -0.6676925952145161, -0.6694820972009887, -0.6804109228373577, -0.6978965783582549, -0.7028223628770464, -0.6998633246304501, -0.7013147444332788, -0.7062830046341201, -0.6859656433642786, -0.6790085962668566, -0.6866640483426222]","[-0.7082665124369695, -0.7067842999366145, -0.7062557699737468, -0.7107768253130835, -0.7092682666941557, -0.7072675834034874, -0.7033142748885782, -0.709269706215831, -0.7087507469287441, -0.7102747836607828, -0.7028052867297538, -0.7042847933781805, -0.7052796966726895, -0.7057720870809083, -0.6950110307990526, -0.6624266431416495, -0.6327322108040695, -0.6236698720565762, -0.6677044999147673, -0.6930880302529832, -0.7008424868125945, -0.7032969388705107, -0.704287040791155, -0.7043024141589691, -0.7022977401985937, -0.7052768505748619, -0.7052798151927415, -0.7023117338110607, -0.7003513358078904, -0.7062712302843522, -0.7032988259799289, -0.7092686245071808, -0.7018199309550345, -0.7052795781684342, -0.7067685793435708, -0.7062708735855369, -0.704286804286983, -0.7067691749313414, -0.7092687463888817, -0.7047974668646846, -0.7023000917743879, -0.7042844390547248, -0.7067844193538626, -0.7037756992138933, -0.7087667952235108, -0.7028056400341169, -0.7048000730013365, -0.7117674599501547, -0.7082681863719595, -0.708267110034479]","[-0.7037771164847925, -0.7087672753726293, -0.6979299075567817, -0.7097536331624847, -0.7032992977242186, -0.706270041317339, -0.7013318654476794, -0.7023133805281402, -0.6998626239542243, -0.6983998743837201, -0.7018380163485951, -0.6983999906753541, -0.7022971523027113, -0.6993895208895377, -0.6993742438168059, -0.6988710568050678, -0.7023139685214014, -0.7028044624346069, -0.7023146741146143, -0.7013472281652939, -0.7032836135225231, -0.7037911693865984, -0.7018229844256454, -0.7013275264813885, -0.6988892232560945, -0.6964754486951165, -0.6699338883553198, -0.6537743927929793, -0.6512249252325624, -0.6637124058068252, -0.6874037556992687, -0.6869036907670393, -0.6690528993620531, -0.6892631302175771, -0.6993743604331538, -0.7057739872986717, -0.7052773250773328, -0.7077666955613893, -0.7037924684226644, -0.7052775622638946, -0.7037924684226644, -0.7077662178341122, -0.6998637917487134, -0.7023125573392287, -0.7062877619339498, -0.7077502143430018, -0.6974282161598069, -0.6974285640647461, -0.7018216926498123, -0.705277799450616]"
1,"[-0.596236109444753, -0.5951746386002235, -0.5951741318664977, -0.592709997589199, -0.5920137014279425, -0.5958819500492768, -0.5948213169416204, -0.5980139221352198, -0.5958927862844914, -0.5987286004655584, -0.5955276192477501, -0.539748279853998, -0.5480011037619887, -0.5704518905491786, -0.5951748919674099, -0.5980139221352198, -0.5976686342893581, -0.5994319671876945, -0.6037763661573471, -0.5983707064414061, -0.5951738784999584, -0.6012535672652772, -0.6037757577563511, -0.6023244823134937, -0.5874918409824997, -0.5941160147705177, -0.5937652934090742, -0.5976567114306742, -0.5948219074303528, -0.5937757165598896, -0.5916627027856632, -0.5919990786147153, -0.5948231727672986, -0.5987398823648483, -0.5400381449939814, -0.5480069748888844, -0.5707810410460349, -0.5948098448217571, -0.6005331958821929, -0.5962354313878571, -0.5944583040542973, -0.5951739629554474, -0.5951746386002235, -0.5944696783619224, -0.5948203890331238, -0.5958818653927407, -0.5948213169416204, -0.5976686342893581, -0.5962369570180419, -0.5983596091742395]","[-0.6402126683012225, -0.6493822336076932, -0.6486453048844988, -0.6490627726960909, -0.653774290887898, -0.6524961536008363, -0.6533618357482655, -0.6503667079796879, -0.6516617179286117, -0.645760070255574, -0.6412426424498158, -0.6412162718926846, -0.6478741182545614, -0.6546107775085547, -0.6495527950272083, -0.646176320016811, -0.6550542738881088, -0.6487114174987507, -0.6546267157928877, -0.621361340466965, -0.6078009965532907, -0.6114965855479161, -0.6449428627267727, -0.6520865256412808, -0.6495380081503833, -0.6537730680294005, -0.6524958490799682, -0.6499598492152854, -0.652496864150634, -0.6516484547698017, -0.6508019458716018, -0.6512262396894711, -0.65503862167624, -0.6533490121577351, -0.655054069279207, -0.6563406138984527, -0.6537869273602468, -0.6445154237619947, -0.6520713190567945, -0.6525107709367813, -0.6499589427418996, -0.6550396446737767, -0.6554844396240849, -0.6524953415458197, -0.6524966611362482, -0.6563412301390579, -0.6550545808017012, -0.652495646066214, -0.6432864185454283, -0.6351369420448504]","[-0.6512262394107057, -0.6229062901937135, -0.5998120608822861, -0.6048693791075642, -0.6307424189341658, -0.6495229201466105, -0.6516487583800966, -0.6520739547967997, -0.6516480493419129, -0.653772660217931, -0.6533478925572901, -0.6546269196867535, -0.6537715393068488, -0.6524967625974052, -0.6546283502742325, -0.649537605530674, -0.6554836199906431, -0.6529201189990282, -0.6520733465379616, -0.6524961534761965, -0.6516491629398637, -0.6537720485824204, -0.652073042191089, -0.650802955561634, -0.6520715216144992, -0.6486981737164853, -0.6445270099576965, -0.650802854291552, -0.6474545787013144, -0.6461759217280203, -0.623692407396371, -0.5973020536472086, -0.6012308129585837, -0.6233048901421575, -0.6428592972179468, -0.645774784189676, -0.6478589073049974, -0.650802753580162, -0.6491175176463868, -0.6474407873003706, -0.6449438541965603, -0.6457709072013432, -0.6436994834569949, -0.6449418704792266, -0.6441145647417007, -0.6486975716790179, -0.6428729955899387, -0.6424643353828252, -0.6449422670364853, -0.6470360829253934]","[-0.6457727965216401, -0.6495380081503833, -0.6499589427418996, -0.6482916958987316, -0.6495249318814803, -0.6474538799728503, -0.6391737243968064, -0.642886495227366, -0.6428744736789266, -0.6383728972053653, -0.6137545388058203, -0.5998030546267433, -0.6096497921904783, -0.6371552790124657, -0.6491163124694346, -0.6428749663565028, -0.6529083292237647, -0.6524967626434253, -0.6525099588453807, -0.643700077149398, -0.6420386018778191, -0.6391987582703871, -0.6428616643269977, -0.645773094799517, -0.644527506759826, -0.6482780685681342, -0.6449421685339009, -0.645773094799517, -0.6445411749591927, -0.6482778681704882, -0.6457603685216947, -0.6466048690411718, -0.6486992774502554, -0.6466032741283552, -0.6461875693861786, -0.6453730536734822, -0.6482779683692956, -0.6424491806532961, -0.6225313907328803, -0.5909642007887124, -0.5941174454178224, -0.6163828385825927, -0.6355400865811361, -0.640411103746561, -0.6412286236308186, -0.646190556010215, -0.6416403262368426, -0.6445246345307705, -0.6420544252467996, -0.6449558543261961]"
2,"[-0.560264921714966, -0.5624462519902474, -0.5611964150773727, -0.5612058012208938, -0.5615013624183229, -0.559318017515336, -0.5169378544971159, -0.5080249158812439, -0.5568299792303079, -0.5583863511189415, -0.560883173178275, -0.5640273962431012, -0.5640468138325275, -0.5837409992228401, -0.5948098448209964, -0.5983719869208557, -0.5973006927554598, -0.5930732258010004, -0.5916630366320315, -0.5965793193139082, -0.5951749764226925, -0.5973013732374589, -0.59202247546155, -0.5951744696885761, -0.5955167117357332, -0.5948326207853409, -0.5941171087935537, -0.5962355161436443, -0.5793550452779931, -0.5786862428899348, -0.5806980220859436, -0.5923611011067405, -0.5930622402972637, -0.5941171929494073, -0.5857854395799631, -0.5837400243215184, -0.5951748075110102, -0.5881910621334975, -0.5881917220180555, -0.5965800830081801, -0.59801409266074, -0.5951746385997327, -0.5990849547713706, -0.5969589466013426, -0.5969345632592393, -0.5941272076618667, -0.5958825426442104, -0.5980142631880454, -0.5980035201737778, -0.5987283440600947]","[-0.5740601492003676, -0.5899216363645734, -0.6103918552577211, -0.6167616015640106, -0.6190606850123653, -0.6186782698722881, -0.6179152035533255, -0.614131337562578, -0.6137533491241075, -0.589239405872193, -0.5627712745003054, -0.5678716498011006, -0.5983711261748639, -0.6092784538850164, -0.6133674037666121, -0.6163957892118047, -0.6160199924441752, -0.6152588588901668, -0.6148829236515221, -0.61601610168724, -0.6137553424091096, -0.6137530095055879, -0.6137677308777725, -0.586814631646787, -0.5646734331966652, -0.5681807355806383, -0.5994569777788322, -0.6103803907339158, -0.6096612040860008, -0.6100213063580804, -0.6100198826778821, -0.6122447527451146, -0.6118806980930243, -0.6096612210799413, -0.6145075359422664, -0.6114975567075187, -0.6100308792698745, -0.6074336673121714, -0.6144948370239649, -0.6171549135501316, -0.614895272918183, -0.6114959510498024, -0.6163959651604538, -0.614507794339465, -0.6163957871223188, -0.6163956893582954, -0.616395695300614, -0.6145191490562047, -0.5806972926038618, -0.563719763142709]","[-0.6092519745121704, -0.6096221569921475, -0.6088736828080731, -0.6092649330629875, -0.6088622547691145, -0.610749962253472, -0.609640634551902, -0.5937426442120343, -0.5555504069458791, -0.5476622472300814, -0.5840637705327196, -0.5990755723402714, -0.6044917192619765, -0.6052160127193447, -0.6048418699854992, -0.6052169961680923, -0.6044509980261122, -0.6063104470068233, -0.6048489837845467, -0.6052155486327883, -0.5958133143608537, -0.6059078549537681, -0.5986915622138708, -0.5980154301308951, -0.5969167481552573, -0.5987228636884225, -0.5987210358248546, -0.5951349093834772, -0.5976458838806187, -0.5976258278461032, -0.601574275874583, -0.5694584053879963, -0.5456006494483759, -0.5580476079400474, -0.587826263883946, -0.5986963829232962, -0.605207206862626, -0.6040980548093581, -0.6055932381287572, -0.6044863758568182, -0.6055833970092057, -0.6048716064641513, -0.6019123303496113, -0.6063174259157825, -0.6041222104454606, -0.6044730614127722, -0.6066929472066273, -0.6052132121791284, -0.6052069917336511, -0.6041122049624876]","[-0.5998021968844539, -0.5994330808770121, -0.6016143151453096, -0.6030488133638774, -0.6048685941069205, -0.609267840673913, -0.6070771613832536, -0.6059659189824169, -0.6107633041443377, -0.6103915929818455, -0.6055992355621792, -0.6107521871323189, -0.6089091734214291, -0.6111424139832732, -0.5786863227315175, -0.5615105332490776, -0.5694830272685746, -0.599432309860886, -0.6026878158259712, -0.6107763782683011, -0.6092671326529965, -0.6137668431593989, -0.614506818568071, -0.6148713913923911, -0.6081819042601944, -0.6137428635979987, -0.6133789098060498, 1.0343299770058936, -0.6081705282841108, -0.6126167706949078, -0.6133925446764958, -0.6111352902135792, -0.6118818730514416, -0.6122554914344414, -0.6111366259077464, -0.6111223788042995, -0.6063443540551503, -0.603049333595389, -0.5927125940884203, -0.5605687074575356, -0.5624448943856267, -0.5881903197677885, -0.6037778437077237, -0.6063432145368413, -0.607065650969208, -0.6026878158259712, -0.6055984486021454, -0.6074223250192173, -0.6089091734214291, -0.6070665296113771]"
3,"[-0.6703809321474707, -0.6633031588035161, 3.2684281697260396, 3.27535683840631, 3.2953128293048297, -0.6550667551294017, -0.6615372797314336, -0.6672454114747793, -0.6655036265597032, -0.6699347428074536, -0.6659306075017878, -0.6663597176289447, -0.6650610585599678, 3.2662477362411417, -0.665041954835267, -0.6606645154889983, -0.6637267947842257, -0.660230437226238, -0.665048298867106, -0.6685804467805969, -0.6654889497774937, -0.665488738510365, -0.6677036490720168, -0.6681503818700816, -0.6646205520187011, -0.661974051675815, -0.6624121009853526, -0.6619731097724795, -0.6628357505228202, 3.264894504898439, -0.6663717948848475, -0.6650338524351739, -0.665061480341315, -0.644086473593706, -0.6183042532171347, -0.6145063659402634, -0.6339338289398896, -0.6567565305237243, -0.6597941861274086, -0.6589304765555604, -0.6611155271552448, -0.6668165331729727, -0.665474272794196, -0.6619872504484531, -0.6576323244477648, 3.274067891172582, -0.6611000001678106, -0.6593487504393686, -0.6593608777659206, -0.6672616532162171]","[-0.5901941784584096, -0.6845485299451006, -0.5568678556782778, -0.6939525072690286, -0.6781881940774026, -0.6823293662717294, -0.5029028372312607, -0.6875826862282433, 3.246285302554098, -0.5445185226361514, -0.6872986459542535, -0.24756120551337268, -0.6901698454686569, -0.6822546356536853, -0.6664787077753398, -0.7002884553852361, -0.698433235194629, -0.6950078231368898, -0.6945698300979889, -0.6816125891701921, -0.6979087322531736, -0.6975316845964677, -0.6917830130878209, -0.6688876103998029, -0.5577769956388761, 3.2456431257192113, -0.6829606046703037, -0.6308179187437088, -0.6961916821253356, -0.6896446040251559, -0.6885066682907378, -0.6960814937616812, -0.6588723714721793, -0.6541209158125859, -0.6494276630422711, 3.283411832596717, -0.6716048753493643, -0.6722934300029727, -0.672691929941229, -0.6988360851938169, -0.6940303224553648, -0.6973127444888182, -0.6961798196954295, -0.6962539535450278, -0.6884880844538659, -0.6828342496050962, -0.3706445259160489, -0.6974210358704982, -0.6929532693507363, -0.692910655345814]","[-0.0007363071290975576, 2.1496561809134542, -0.21404306294450404, 0.10710483110065583, -0.12452136096731481, 0.05196565268502584, -0.03938300965558028, 0.09684960626938899, 13.977817756771124, -0.13997621791459558, -0.11227514308456243, -0.3318740756816516, -0.2619850836137027, -0.21912584623009262, -0.15474715761655444, 0.14171835944793387, -0.5894470476790654, -0.2853689716372907, 0.22023264055197422, -0.16504012532955037, 0.5790330092459505, 0.06092019082009126, 0.40491077132263187, 3.5321542238093944, -0.3195936667710698, 1.2724570881312416, 0.2088935048227647, 0.02434509730825285, -0.4525017057486963, 0.4666670414672637, 0.2415222114139305, -0.29166435101340443, -0.20560307602896993, 1.8203448523649022, 0.17193787590471077, -0.14878151406461493, -0.40968496264538046, 0.28887322933887183, 0.3122686412853195, 0.6345962764721969, 0.9121142379724859, 0.22686784991890596, -0.1159329517819625, 0.7520101385235914, -0.40177785634464014, -0.41840881507678973, 0.33825024405494675, 1.2383283292866363, 0.11323637790302588, -0.4216790103514542]","[-0.6926248396866462, -0.6926107717112779, -0.6883316224756638, -0.6892779687386766, 3.2377499149084428, -0.6935690436559647, 3.2363246526465845, -0.6926257547251523, -0.6969445002117646, -0.6911776919699669, -0.6925956696955756, -0.6930895527891852, -0.6964594889298803, -0.6955084421699338, -0.6945149055691818, -0.6935839517001968, 3.2377653613444317, -0.6959773466969438, -0.685522116195872, -0.6567696944763225, -0.651226137775314, -0.6529088373998689, -0.6776288972743284, -0.6907039657853031, -0.6931052387837479, -0.694514895272268, 3.2300758126660942, -0.6931056682600314, -0.6959768847550887, -0.6993578012632893, -0.6950093988680253, -0.6974278682218948, -0.6998626227115635, 3.2314670561727716, -0.6959780396071633, -0.6969446161879221, 3.2362956628696495, 3.232930314150856, -0.6999706307474906, 3.238395975523966, 3.232940417354936, -0.700840262248915, -0.6979138812724598, -0.6969426472760099, -0.6974297236544337, -0.6969435739177959, -0.695975360631395, 3.2525339386243948, 3.2391842902472816, -0.6907023772667594]"
4,"[-0.6794689380948871, -0.6771885376467902, -0.6730835519546252, -0.6758052197899581, -0.6748797364265922, -0.6785662226322158, -0.6744406640556095, -0.6739741118857342, -0.6767308427979776, -0.22604871040174568, -0.6767188324106433, -0.681778268746812, -0.6804059558621468, -0.6776182781471505, -0.6753630940659144, -0.6457723988182329, -0.6271914595694196, -0.6351388656066946, -0.19899438113821832, -0.6717315677180944, -0.6785495364308908, -0.6804057351093762, -0.6826912997580478, -0.6841065863239488, -0.6794832478370784, -0.6803769281018291, -0.6841042431450596, -0.6790245355519022, -0.682706557886439, -0.6803768177348436, -0.6845872771641404, -0.679452317535565, -0.6831742660358812, -0.6794832478370784, -0.6798948557378708, -0.6804073907586479, -0.6850395526953879, -0.679007936726357, -0.6836222245547651, -0.6836384926097744, -0.6790249752669237, -0.6845727516377388, -0.6845564390890935, -0.6874034177239877, -0.6826904452726706, -0.6845734220330814, -0.6855071028359371, -0.6855088954431182, -0.668594728176324, -0.6478735178109826]","[-0.708266751684038, -0.7028066999400463, -0.685023665411262, -0.6808531637329931, -0.6767176313953571, -0.696475333043516, -0.7072514833667991, -0.7092843393285556, -0.7132910468904703, -0.7168737000769293, -0.7168914666700394, -0.7158344797972325, -0.7133060888523816, -0.7153422282438052, -0.7173854853200237, -0.7158524392687433, -0.7179008280079473, -0.7148307947374269, -0.7122939927264329, -0.6950111460506294, -0.6776330574367907, -0.6703828609240192, -0.6748922245950618, -0.6916569689448081, -0.7082833765747778, -0.7148303074263338, -0.7163468616409884, -0.7158673450926873, -0.7168607126418983, -0.7204782914530568, -0.7173906387820226, -0.7189456913094268, -0.7173730928306544, -0.7163633786194523, -0.7143362723341639, -0.7117703588647594, -0.7168739451273966, -0.7179018110216813, -0.717390516080082, -0.7179004593784911, -0.7173864669395867, -0.7168766406935937, -0.7199638156003169, -0.7158554936902953, -0.7163589740173878, -0.7204807666706461, -0.7158506066283234, -0.7184174038304254, -0.7209978409450335, -0.7204829943810178]","[-0.7158675894556285, -0.7173887982573197, -0.7183990693347018, -0.7168912216075932, -0.7143225250918682, -0.7122750017746148, -0.7184160502450556, -0.7179015652679954, -0.719448346272116, -0.7153399102086649, -0.7204807666706461, -0.7179019338985874, -0.7184327858406716, -0.7194471122055459, -0.715840588359883, -0.7158453531111245, -0.7189312731634557, -0.7127978039125582, -0.7173886755560086, -0.7163628892165481, -0.7143373672700172, -0.7102735811433831, -0.7138131555045147, -0.7127822988570989, -0.713813762911196, -0.7153401542116564, -0.7158503622769727, -0.7143226467465592, -0.7153395442044898, -0.7138302847693886, -0.7107770667133028, -0.690702377266769, -0.6748960254337228, -0.6650467171763217, -0.6739886243336931, -0.6988712897023097, -0.7067686986507156, -0.7143377322493808, -0.7122918153684586, -0.7087672753726293, -0.7127821777265086, -0.7153568688128205, -0.7127826622491167, -0.7158528057979527, -0.7158497513993387, -0.7122902428404225, -0.7143404087761105, -0.7097693670581905, -0.7153242943634348, -0.7087682335325142]","[-0.7158339911167242, -0.7179204887941316, -0.7184160502450556, -0.7168582622352291, -0.7153571128273813, -0.6888048099199097, -0.6780904391327797, -0.6699354934338622, -0.22654604664812938, -0.695024505543471, -0.7057748186219509, -0.26077871101356165, -0.7117860615102177, -0.7143043990059729, -0.7138302847693886, -0.7158526836215083, -0.7153238063792572, -0.7174051179057257, -0.712797198233669, -0.7117698757174244, -0.7133043905345892, -0.7102735811433831, -0.7153422282438052, -0.7138129125421318, -0.7107927255620431, -0.7077666955613893, -0.7117871486420853, -0.7092676674157912, -0.7137974847695098, -0.7082820609075047, -0.7137969988662444, -0.2580760135430552, -0.7127821777265086, -0.711280301626109, -0.7153419842393988, -0.7117834040907439, -0.714850531395071, -0.7122908476580763, -0.711786423887138, -0.2616559006260766, -0.7097706882567525, -0.7127982884564107, -0.714320578622449, -0.6988875928949911, -0.6790077168798084, -0.6580647489407636, -0.6641665369519182, -0.6699179449927662, -0.69453238622806, -0.25108089560450036]"
